cost,delivered,price,quantity,customer_id,product_id
17.67,1/11/19,22.5,1,152264,291054
15.52,1/11/19,22.5,1,152264,291239
21.02,1/11/19,24,1,152264,291760
5.21,1/11/19,7.54,1,152266,290981
17.95,12/21/18,19.3,1,18,875
5.2,1/11/19,7,1,152266,291586
1.4,12/21/18,2.15,3,20,12
6.29,12/21/18,11.2,2,20,21
8.19,12/21/18,16.15,1,20,55
2.22,12/21/18,6.4,2,20,88
4.65,12/21/18,12.4,2,20,110
1.55,12/21/18,2.45,4,20,153
16.6,12/21/18,21.85,1,20,221
8.43,12/21/18,10.3,6,20,259
13.15,12/21/18,21.5,1,20,272
17.28,12/21/18,31,1,20,280
20.45,12/21/18,33.35,1,20,377
3.26,12/21/18,6.5,2,20,428
2.24,12/21/18,5.25,1,20,458
1.25,12/21/18,2.6,3,20,555
6.9,12/21/18,11.5,1,20,596
1.28,12/21/18,2.6,4,20,609
8.46,12/21/18,13.8,1.67,20,670
15.66,12/21/18,29,1,20,860
6.32,1/11/19,7,1,152266,291592
5.93,1/11/19,7,1,152266,291597
5.21,1/11/19,7.54,2,152268,290981
22.19,1/11/19,26.1,1,152268,291872
22.41,1/11/19,26.37,1,152268,291969
22.41,1/11/19,26.37,1,152268,292065
14.74,1/11/19,17,1,152275,290848
26.38,1/11/19,27.7,6,152275,290895
17.67,1/11/19,21.55,2,152275,291054
15.52,1/11/19,18.93,1,152275,291239
14.66,1/11/19,19.7,1,152275,291748
15.99,1/11/19,19.5,1,152275,291845
12.25,1/11/19,12.5,2.5,152275,291922
9.19,1/11/19,11.57,1,152275,291950
21.76,1/11/19,27.9,0.5,152275,292134
7.78,1/11/19,12,1,152275,292157
14.03,1/11/19,18.22,1,152281,291128
20,1/11/19,24,5,152286,291030
22.5,1/11/19,27,10,152286,291231
26.38,1/11/19,29.5,3,152294,290895
28.89,1/11/19,33,1,152294,291358
18.8,1/11/19,0,4,152294,291405
43.6,1/11/19,51,1,152294,291747
24.54,1/11/19,28.71,3,152294,291900
25.7,1/11/19,30.84,3,152294,291986
21.21,1/11/19,24.95,1,152300,291015
25.92,1/11/19,35.56,1,152300,291423
21.08,1/11/19,24.8,1,152300,291507
8.32,1/11/19,12,1,152300,291672
22.19,1/11/19,26.1,1,152300,291872
24.29,1/11/19,28.58,1,152300,291945
22.41,1/11/19,26.37,1,152300,291969
19.7,1/11/19,27,0.5,152301,291037
3.09,1/11/19,3.75,1,152301,291197
10.4,1/11/19,13.86,1,152301,291251
21.54,1/11/19,27,0.5,152301,291288
3.45,1/11/19,4.2,7,152301,291417
28,1/11/19,42,1,152301,291461
21.06,1/11/19,27,0.5,152301,291837
6.66,1/11/19,8.99,4,152301,291948
21.5,1/11/19,27,0.16,152301,292042
1.58,1/11/19,0,1,152301,292063
13.3,1/11/19,16.15,4,152301,292121
7.26,1/11/19,10.37,6,152301,292168
22.22,1/11/19,27,0.32,152301,292174
10.3,1/11/19,14,0.5,152309,291235
21.02,1/11/19,28.5,1,152309,291760
17.4,1/11/19,24.4,1,152309,291877
11,1/11/19,15.95,1,152314,291367
12.25,1/11/19,15.72,1,152314,291922
26.95,1/11/19,33.68,1,152314,292085
12.5,1/11/19,16.8,1,152317,290859
22.48,1/11/19,32.12,0.25,152317,290930
3.09,1/11/19,4.25,2,152317,291197
1.59,12/21/18,4.2,3,30,27
15.95,1/11/19,19.75,2,152317,291209
3.34,12/21/18,9.4,1,30,29
9.96,1/11/19,11.5,1,152317,291715
2.22,12/21/18,6.4,2,30,88
4.65,12/21/18,12.4,1,30,110
2.85,12/21/18,6.8,1,30,198
3.6,12/21/18,14,1,30,225
1.91,12/21/18,3.6,1,30,241
13.3,12/21/18,20,1,30,247
27.5,1/11/19,34.5,2,152317,291935
1.91,12/21/18,3.4,2,30,359
13.4,12/21/18,24.8,2,30,475
3.14,12/21/18,6,1,30,537
8.28,12/21/18,14.15,2,30,556
2.32,12/21/18,4.25,2,30,562
2.3,12/21/18,3.6,1,30,570
3.9,12/21/18,7,1,30,650
18.75,12/21/18,25,1,30,836
11.02,1/11/19,13,1,152317,291998
10.5,12/21/18,20,1,30,309730
11.2,1/11/19,12.78,12,152317,292187
-13.18,1/11/19,-15.16,0,152318,290837
1.1,1/11/19,1.47,2,152318,290873
10,12/21/18,15.4,1,31,54
16.21,1/11/19,18.64,1,152318,290904
6.14,1/11/19,7.36,1,152318,290942
2.59,12/21/18,3.2,8,31,181
27.5,12/21/18,51,0.5,31,242
2.96,1/11/19,3.4,1,152318,291065
6.61,1/11/19,5.11,1,152318,291071
17.91,12/21/18,21,2,31,400
1.1,1/11/19,1.47,6,152318,291144
20.66,1/11/19,22.49,1,152318,291362
2.24,12/21/18,5.25,2,31,458
10.61,1/11/19,13.43,1,152318,291429
7.59,12/21/18,11.5,1,31,460
5.41,12/21/18,11.4,2.94,31,467
13.18,1/11/19,15.16,2,152318,291554
8.59,1/11/19,11.42,1,152318,291778
12.88,12/21/18,18.4,2,31,564
-12.99,1/11/19,-14.86,0,152318,291794
8.46,12/21/18,10.9,3.32,31,670
16.88,1/11/19,21,0.16,152318,292191
1.6,1/11/19,6,1,152318,292373
13.82,12/21/18,16.3,3,31,12123
5.18,1/11/19,5.96,1,152318,292447
6.2,12/21/18,11.4,1,35,412
7.8,12/21/18,10.85,2,35,442
17.35,12/21/18,27.8,1,35,589
3.91,12/21/18,6.7,4,35,617
3.57,12/21/18,4.38,2.5,36,293
8.51,12/21/18,12.6,2,36,335
8.07,12/21/18,9.5,2,36,494
12.15,12/21/18,17.6,1,36,584
6.9,12/21/18,7.9,2,36,596
3.81,12/21/18,5.35,2.5,36,1080
10.8,1/11/19,13.85,1,152318,292488
7.65,1/11/19,8.8,1,152318,292709
8.98,1/11/19,10.33,1,152318,292744
14.57,1/11/19,16.76,1,152318,296992
10.99,1/11/19,13.73,1,152318,313299
5.25,1/11/19,6.56,1,152318,330576
0.2,1/11/19,0.4,4,152318,330651
8.54,1/11/19,10.68,1,152318,330709
0.5,1/11/19,0.62,4,152318,330737
0.15,1/11/19,0.3,4,152318,330771
7.33,1/11/19,9.16,1,152318,330804
12.29,1/11/19,15.36,1,152318,330814
0.25,1/11/19,0.5,4,152318,330837
3.52,12/21/18,4.15,10,38,119
10.3,1/11/19,14,1,152328,291235
11.25,12/21/18,13.75,1,38,204
4.92,12/21/18,6.85,1,38,210
2.02,12/21/18,3.4,4,38,284
15.52,1/11/19,20.5,2,152328,291239
1.97,12/21/18,3.4,4,38,458
4.76,12/21/18,7.2,11.9,38,467
11.8,1/11/19,16.5,1,152337,290830
40.53,1/11/19,48.4,1,152337,290835
1.15,1/11/19,1.35,6,152337,291011
22.75,1/11/19,34,1,152337,291136
7.9,12/21/18,9.6,2.38,43,28
6.25,12/21/18,10.2,0.82,43,93
2.16,12/21/18,4.15,2,43,141
5.88,12/21/18,12,1,43,300
1,12/21/18,1.75,7,43,423
5.5,12/21/18,12.6,1,43,621
3.45,12/21/18,4.6,2.5,43,651
6.67,12/21/18,14.99,1,43,4715
7.44,12/21/18,9.5,1.6,44,670
7.96,12/21/18,9.95,1.76,44,772
7.22,12/21/18,9.3,1,44,2100
10.82,12/21/18,12.95,1.45,44,2406
8.96,12/21/18,14.8,4.33,45,288
2.99,12/21/18,3,6,45,454
13.4,12/21/18,17,2,45,475
7.3,12/21/18,9.75,10,47,35
9,1/11/19,10.49,1,152337,291175
11.9,12/21/18,13.5,5,47,286
15.52,1/11/19,20.5,0.5,152337,291239
8.2,12/21/18,9.65,15,47,538
6.3,1/11/19,8.75,1,152337,291397
6.9,12/21/18,8.8,2,47,596
19.27,1/11/19,26.37,0.3,152337,291440
20.63,12/21/18,21,4,47,597
1.15,1/11/19,1.35,18,152337,291665
4.65,12/21/18,5.85,1,48,110
6.95,12/21/18,12.4,1.62,48,187
1.94,12/21/18,2.9,6,48,251
9.66,12/21/18,15.75,1,48,432
13.4,12/21/18,18,1,48,475
7.2,12/21/18,9.5,2,48,531
3.14,12/21/18,4.9,1,48,537
3.92,12/21/18,6.1,6,48,620
1.91,12/21/18,3.3,1,48,1063
7.61,12/21/18,14.5,1,48,9763
6.66,1/11/19,8.5,2,152337,291948
9.19,1/11/19,12.62,1,152337,291950
6.05,1/11/19,7.56,1,152337,292192
22.87,1/11/19,30.2,1,152343,291587
2.63,12/21/18,3.54,12,49,339
15.62,1/11/19,19.84,1,152346,291306
8.24,12/21/18,9.96,26.4,49,343
11.56,1/11/19,19.97,1,152355,291342
1.3,12/21/18,2.25,1,49,350
12.8,1/11/19,16,1,152355,291878
9.19,1/11/19,11.57,3,152355,291950
20,1/11/19,26.2,1,152358,291030
3.9,12/21/18,4.74,2,49,650
22.5,1/11/19,30,1,152358,291231
2.23,12/21/18,2.5,3,49,813
26.52,1/11/19,31.2,1,152358,291494
11.2,1/11/19,16,1,152358,292187
11.56,1/11/19,19.67,1,152359,291342
9.19,1/11/19,11.65,3,152359,291950
11.45,12/21/18,16.6,1,53,115
3.45,12/21/18,6.99,1,53,174
26.41,1/11/19,31.07,1,152362,290940
8.88,12/21/18,13.6,1,53,319
26.41,1/11/19,31.07,1,152362,291290
8,12/21/18,11.9,1,53,546
6.47,1/11/19,10.26,1,152363,291270
9.44,1/11/19,12.58,1,152363,291855
11.81,1/11/19,14,1,152363,292051
26.75,1/11/19,27.13,2,152367,290970
4.86,1/11/19,5.99,3,152367,291082
6.47,1/11/19,7.97,3,152367,291270
19,1/11/19,36.75,1,152367,291552
18.5,1/11/19,20,2,152367,292049
8.22,12/21/18,15,4,54,41
8.6,12/21/18,13.9,1,54,56
6.84,1/11/19,8.34,4,152367,292078
11.45,12/21/18,19.9,1,54,115
8.32,1/11/19,9.51,11,152374,291672
10.95,12/21/18,23,1,54,127
19.27,1/11/19,22.5,1,152374,291939
5.59,12/21/18,9.4,1,54,210
3.6,12/21/18,11.2,1,54,225
31.25,1/11/19,36.76,1,152379,290851
26.41,1/11/19,31.07,1,152379,290940
35.88,1/11/19,42.21,1,152379,291274
11.93,12/21/18,25.3,1,54,283
5.56,12/21/18,10.1,2,54,306
22.91,1/11/19,26.95,1,152379,291432
37.43,1/11/19,44.04,1,152379,291711
4,12/21/18,7.55,2,54,325
4.68,12/21/18,9.35,2,54,344
10.43,1/11/19,13.9,1,152381,291840
26.41,1/11/19,31.07,1,152382,290940
14.51,1/11/19,18.6,1,152383,290892
12.2,12/21/18,11.9,4,54,439
19,1/11/19,22.5,1,152383,290956
28.89,1/11/19,31.85,2,152383,290975
12.5,1/11/19,14.5,1,152383,291062
28.12,1/11/19,32.34,3,152383,291102
-26.19,1/11/19,-31.5,0,152383,291137
14,12/21/18,20.3,1,54,57215
24.3,1/11/19,24.75,1,152383,291226
6.23,12/21/18,9.5,3.3,55,118
1.35,12/21/18,1.75,2,55,408
24.03,12/21/18,36,1,55,457
10.3,1/11/19,13.2,2,152383,291235
55.44,12/21/18,85.7,4,55,549
7.29,12/21/18,9.95,1,55,556
6.9,12/21/18,9.5,2,55,615
1.4,12/21/18,1.7,2,56,12
4.49,12/21/18,5.8,4,56,26
2.85,12/21/18,5.5,2,56,198
2.3,12/21/18,4.5,8,56,284
18.64,1/11/19,24.85,1,152383,291638
12.78,12/21/18,19.2,2,56,323
20.17,12/21/18,21.5,1,56,449
2.24,12/21/18,4.5,8,56,458
13.1,12/21/18,14.25,1,56,472
8.28,12/21/18,14.15,8,56,556
14,12/21/18,17.5,1,56,575
17.35,12/21/18,20.3,2,56,589
8.46,12/21/18,10.15,1.62,56,670
5.19,12/21/18,8.15,6,56,1034
6.61,12/21/18,7.95,1,56,1312
45.45,12/21/18,60,1,56,55146
19.32,12/21/18,28.3,0.59,56,141247
0.67,1/11/19,0.93,30,152383,291728
43.6,1/11/19,46.75,2,152383,291747
9.44,1/11/19,12.58,1,152383,291855
16.26,1/11/19,20.85,1,152383,291887
19.27,1/11/19,22.1,2,152383,291939
18.8,1/11/19,20.4,5,152383,292109
67.87,1/11/19,75.34,2,152383,292131
40.53,1/11/19,45.5,6,152388,290835
16.21,1/11/19,20.26,4,152392,290904
10.4,1/11/19,12.5,4,152392,291836
5.21,1/11/19,7.54,1,152396,290981
26.41,1/11/19,31.07,1,152396,291290
22.19,1/11/19,26.1,1,152396,291872
1.09,1/11/19,1.5,4,152398,291074
25.3,1/11/19,33.75,0.2,152398,291094
17.71,1/11/19,24,1,152398,291219
21.5,1/11/19,28.69,0.16,152398,291288
17.94,1/11/19,28.06,0.16,152398,291768
21.06,1/11/19,28.06,0.16,152398,291837
23.81,1/11/19,28.01,2,152398,292210
19.27,1/11/19,31.02,1,152404,291939
28.12,1/11/19,30.03,3,152405,291102
22.4,1/11/19,27.3,4,152405,291184
11.66,1/11/19,15.54,1,152405,291702
15.52,1/11/19,19.9,1,152405,291953
11.81,1/11/19,14.58,1,152405,292051
67.87,1/11/19,70.35,3,152405,292131
7.76,1/11/19,10.34,1,152405,292226
40.53,1/11/19,46.83,2,152406,290835
37.5,1/11/19,44,2,152406,291801
26.41,1/11/19,31.07,1,152414,290940
11.31,1/11/19,13.25,1,152419,291645
16.96,1/11/19,20,0.25,152419,291785
46.36,12/21/18,65,1,60,23
10,12/21/18,15.2,4,60,54
45.45,12/21/18,65,1,60,145
25.65,12/21/18,27.8,1,60,489
12.97,1/11/19,15.95,1,152419,292179
4.86,1/11/19,5.93,2,152435,291082
20.5,1/11/19,25,2,152435,291221
12,12/21/18,16,2.54,62,231788
4.95,12/21/18,10.2,1.6,64,399
14.4,12/21/18,24,3,64,529
5.51,12/21/18,6.8,2,64,541
1.74,12/21/18,2.5,12,64,551
20.63,12/21/18,23.5,2,64,597
2.78,12/21/18,3.6,2,65,72
16.17,12/21/18,17.5,1,65,138
13.01,12/21/18,17.5,1,65,435
5.41,12/21/18,8.2,4.82,65,467
81,12/21/18,105,1,65,521
13.69,12/21/18,20,1,65,547
17.35,12/21/18,21,1,65,589
8.15,12/21/18,17.15,1,65,4533
13.16,12/21/18,15.85,2,66,31
6.47,1/11/19,7.95,2,152435,291270
22.45,1/11/19,26.5,1,152435,291467
21.51,1/11/19,25,2,152435,291658
1.3,12/21/18,2.5,2,66,350
13.4,12/21/18,17.65,1,66,475
63.64,1/11/19,87,0.25,152438,290885
24.29,12/21/18,33,1,66,526
12.88,12/21/18,18.05,1,66,564
13.88,12/21/18,15.5,2,66,581
26.38,1/11/19,33.5,1,152438,290895
26.75,1/11/19,33.17,1,152438,290970
10.35,12/21/18,12.35,1,66,1161
6.47,1/11/19,10.26,1,152438,291270
9.2,12/21/18,25,0.5,67,74
35,12/21/18,62.6,2,67,445
11.4,1/11/19,15.2,1,152438,291981
22.48,1/11/19,28.08,0.25,152441,290930
3.45,1/11/19,4.2,2,152441,291417
40.53,1/11/19,45.5,1.5,152449,290835
40.53,1/11/19,45.5,2,152451,290835
27.5,12/21/18,36,0.63,68,242
12.5,1/11/19,14.5,1,152454,291062
4.86,1/11/19,6.25,2,152454,291082
2.3,12/21/18,3.5,4,68,284
41.27,1/11/19,47,1,152454,291258
6.47,1/11/19,8.38,6,152454,291270
3.45,1/11/19,4.8,1,152454,291417
17.91,12/21/18,23.45,2,68,400
36,1/11/19,39.5,1,152454,292021
18.8,1/11/19,19.5,3,152454,292109
12.75,1/11/19,15.94,2,152454,292113
12.78,12/21/18,18.5,1,68,544
2.92,1/11/19,3.5,4,152460,291007
13.88,12/21/18,17.86,1,68,581
14.69,1/11/19,17.75,3,152460,292125
40.53,1/11/19,47.42,1,152461,290835
9.19,1/11/19,11.65,2,152461,291950
11.81,1/11/19,14.58,1,152461,292051
12.78,12/21/18,19.2,1,68,912
14.18,1/11/19,16.9,1,152465,291777
27,1/11/19,31,1,152465,291999
3,1/11/19,4,1,152465,292217
7.88,12/21/18,10.9,1,69,44
2.02,12/21/18,2.99,4,69,284
26.41,1/11/19,31.07,1,152466,291290
26.52,1/11/19,31.2,1,152466,291494
7.29,12/21/18,11.5,1,69,556
4.44,12/21/18,9.8,1,69,557
6.14,12/21/18,9.5,1,69,569
19.37,1/11/19,24.6,1,152466,291610
26.41,1/11/19,31.07,1,152466,291860
5.87,12/21/18,7.8,6,69,683
40.53,1/11/19,47.36,1.5,152467,290835
2.63,12/21/18,3.3,1,70,124
7.74,12/21/18,9.9,1,70,155
13.5,1/11/19,18.5,1,152467,291004
19.36,12/21/18,20.8,3,70,164
138.39,1/11/19,165,0.33,152467,291012
2.51,12/21/18,3.5,2,70,198
26.38,1/11/19,31.06,0.5,152470,290895
1.15,1/11/19,1.5,6,152470,291011
3.66,1/11/19,6.2,1,152470,291515
4.12,12/21/18,5.15,6,70,344
8.32,1/11/19,0,0.25,152470,291672
2.2,12/21/18,3.5,1,70,380
5.6,12/21/18,8.25,2,70,382
20.5,1/11/19,29.5,1,152470,291751
6.86,12/21/18,9.35,1,70,442
28.88,1/11/19,38.82,0.5,152470,291774
1.97,12/21/18,2.8,4,70,458
5.51,1/11/19,6.61,1,152470,292004
12.67,12/21/18,21,1,70,529
13.3,1/11/19,16.22,1,152470,292121
7.22,12/21/18,13.8,5,70,538
13.55,1/11/19,14.99,1,152470,292213
3.33,12/21/18,6.3,1,70,550
15.76,12/21/18,17.5,30,70,901
40.54,1/11/19,45.5,0.5,152476,290835
6.14,1/11/19,7.36,1,152476,290942
0.51,12/21/18,1.5,4,71,200
3.8,12/21/18,7.5,2,71,228
3.4,12/21/18,5.4,2,71,282
1.59,12/21/18,2.6,5,71,390
13.64,12/21/18,17.15,1,71,393
31.52,12/21/18,39.9,6,71,400
4.76,12/21/18,6.1,3,71,467
2.25,12/21/18,3.35,2,71,474
6.07,12/21/18,5.75,1,71,596
1.6,12/21/18,2.3,1,71,602
2.9,12/21/18,3.7,2,71,640
11.64,12/21/18,16.1,1,71,1607
18.24,1/11/19,21.9,1,152476,291215
14.69,1/11/19,17.6,1,152476,292125
26.42,1/11/19,30.02,3,152478,290817
26.38,1/11/19,29.98,3,152478,290895
17.91,12/21/18,23,2,75,400
11.56,1/11/19,15.24,1,152478,291342
13.4,12/21/18,16,2,75,475
15.8,1/11/19,18.81,1,152478,291901
3.91,12/21/18,5.35,2,75,617
6.66,1/11/19,9.99,2,152478,291948
9.19,1/11/19,11.88,4,152478,291950
17.24,1/11/19,22.5,1,152478,292025
25.3,1/11/19,33.75,0.2,152488,291094
14.74,1/11/19,18.9,0.5,152488,291635
43.6,1/11/19,50,1,152488,291747
12.25,1/11/19,14.7,1,152488,291922
23,1/11/19,36.9,2,152488,292011
16.6,1/11/19,21,3,152491,291193
16.97,1/11/19,20.71,1,152491,291300
23.81,1/11/19,31.95,1,152491,292210
7.38,12/21/18,14,1,78,77
2.3,12/21/18,4.5,4,78,284
6.36,12/21/18,15.6,1,78,641
3.9,12/21/18,7,2,78,650
15.05,12/21/18,22,5,78,216260
19.29,1/11/19,22.55,2,152496,291129
22.4,1/11/19,25.95,1,152496,291184
23.7,1/11/19,31.25,1,152496,291379
28.89,1/11/19,32.5,1,152496,292084
4.6,1/11/19,5.75,8,152500,291583
18.8,1/11/19,23,0.5,152501,291405
3.45,1/11/19,4.5,6,152501,291417
29.66,1/11/19,35.5,0.32,152501,291532
9.96,1/11/19,12,4,152501,291715
43.61,1/11/19,52,0.66,152501,291747
3,1/11/19,3.99,2,152504,290828
5.39,12/21/18,8.99,1,82,294
8.51,12/21/18,11.95,1,82,335
8.24,12/21/18,13.6,2.67,82,343
17.61,12/21/18,23,2,82,427
13.1,12/21/18,16.9,5,82,472
81,12/21/18,105,1,82,521
7.84,12/21/18,10,1,82,615
4.55,12/21/18,8,1,82,645
10.66,12/21/18,14.35,40,82,674
2.54,12/21/18,5.1,6,83,348
63.64,1/11/19,87,0.25,152504,290885
6.95,12/21/18,8.55,2.44,84,28
6.42,1/11/19,8.93,1,152504,290958
7.04,12/21/18,15,1,84,42
8.8,12/21/18,23.4,1,84,54
6.23,12/21/18,8.75,2.63,84,118
6.51,12/21/18,7.8,1,84,144
26.75,1/11/19,35.66,1,152504,290970
3.04,12/21/18,5.95,2,84,174
9.63,1/11/19,14.5,2,152504,291101
2.28,12/21/18,2.8,2,84,181
4.49,1/11/19,7.15,1,152504,291484
14.74,1/11/19,18.9,0.5,152504,291635
43.52,1/11/19,57.14,0.5,152504,291798
2.36,12/21/18,4.15,6,84,298
12.8,1/11/19,16,1,152504,291878
1.59,12/21/18,4.05,5,84,390
6.86,12/21/18,11.95,1,84,442
12.25,1/11/19,15.4,1,152504,291922
0.89,12/21/18,1.7,24,84,534
4.85,12/21/18,8.4,1,84,541
1.15,1/11/19,1.5,16,152511,291011
10.69,12/21/18,13.8,1,84,584
40.53,1/11/19,47,1,152512,290835
26.38,1/11/19,31.05,2,152512,290895
0.24,12/21/18,1.4,3,84,647
2.3,1/11/19,3.75,5,152512,291441
2.3,1/11/19,3.75,5,152512,291687
5.7,12/21/18,9,6,84,10588
26.53,1/11/19,33.34,2,152512,292107
2.45,12/21/18,5.1,1,86,72
7.42,12/21/18,12.35,3,86,259
3.4,12/21/18,10.65,1,86,282
6.61,12/21/18,11.4,1,86,307
40.54,1/11/19,54.92,0.5,152518,290835
1.6,12/21/18,3.7,1,86,602
18.55,1/11/19,23.3,0.4,152518,290887
5.21,1/11/19,6.5,1,152518,290981
22.75,1/11/19,34,1,152518,291136
4.5,12/21/18,7.1,1,86,2394
4.54,12/21/18,7,1,86,3134
11.2,1/11/19,14.61,1,152518,292187
26.41,1/11/19,31.07,1,152523,290940
17.91,12/21/18,23.3,1,90,400
21.13,1/11/19,24.86,1,152523,291119
13.82,12/21/18,16.2,3,90,12123
26.41,1/11/19,31.07,1,152523,291290
2.25,12/21/18,4,1,91,65
2.81,12/21/18,6.6,1,91,69
13.44,12/21/18,16.5,1,91,113
3.79,12/21/18,6.2,1,91,308
8.51,12/21/18,11.6,1,91,335
1.3,12/21/18,3.85,1,91,350
2.24,12/21/18,2.85,4,91,458
1.74,12/21/18,2.45,12,91,551
12.88,12/21/18,18,1,91,564
17.35,12/21/18,23.3,1,91,589
6.9,12/21/18,8.8,4,91,596
20.63,12/21/18,22.5,2,91,597
3.91,12/21/18,6.7,1,91,617
6.36,12/21/18,10,1,91,641
3.9,12/21/18,7,3,91,650
4.72,12/21/18,8,1,91,1092
13.73,12/21/18,18.2,1,93,86
3.41,12/21/18,5.65,1,93,287
5.1,12/21/18,7,2,93,406
4.46,12/21/18,6.7,1,93,583
8.46,12/21/18,10.2,1.6,93,670
5.37,12/21/18,10.9,1,94,11
1.4,12/21/18,1.9,12,94,12
12.78,12/21/18,17.75,1,94,66
11.05,12/21/18,15.65,4,94,213
44,12/21/18,55,2,94,260
17.28,12/21/18,31,1,94,280
1.81,12/21/18,2.6,5,94,390
3.95,12/21/18,5.6,5.5,94,503
3.92,12/21/18,5.35,4,94,620
22.91,1/11/19,26.95,1,152523,291432
33.65,1/11/19,39.59,1,152523,291915
22.41,1/11/19,26.37,1,152523,291926
9,1/11/19,10.62,2,152524,291175
3.45,1/11/19,4.2,5,152524,291417
23.12,1/11/19,28.9,1,152524,292066
1.19,12/21/18,3.1,4,96,4
21.96,12/21/18,26.55,6.78,96,185
2.87,12/21/18,4.95,6,96,428
1.83,12/21/18,3.15,12,96,490
40.54,1/11/19,48.46,0.5,152533,290835
11.45,12/21/18,12.45,1,97,115
9.63,1/11/19,14.5,1,152533,291101
19.29,1/11/19,25.34,2,152533,291129
15.91,12/21/18,24.4,3,99,100
4.85,12/21/18,6.5,3,99,106
11.45,12/21/18,19.9,1,99,115
7.39,12/21/18,9.65,2,99,431
10.45,12/21/18,12.4,3,99,517
5.05,12/21/18,10.9,3,99,557
6.36,12/21/18,11.5,1,99,641
15.34,12/21/18,24.4,1,99,3555
19,1/11/19,32.5,1,152533,291552
11.31,1/11/19,15.4,1,152533,291645
7.58,12/21/18,9.5,30,100,108
43.6,1/11/19,49,1,152533,291747
48.88,1/11/19,68,0.16,152533,291852
19.27,1/11/19,31.02,1,152533,291939
8.12,1/11/19,10.61,1,152533,291987
6.84,1/11/19,8.44,1,152533,292078
12.97,1/11/19,17.97,1,152533,292179
32.65,1/11/19,45.7,0.2,152539,290931
13.44,12/21/18,18.5,1,101,113
12.78,12/21/18,19.2,1,101,544
26.75,1/11/19,32.1,1,152539,290970
6.5,1/11/19,8,1,152539,291013
4.86,1/11/19,6.04,2,152539,291082
1.3,12/21/18,2.75,2,107,350
49.77,12/21/18,67.95,1,107,465
6.29,12/21/18,10.95,1,107,533
13.88,12/21/18,18.7,2,107,581
19.29,1/11/19,22.75,1,152539,291129
6.47,1/11/19,9.01,2,152539,291270
19,1/11/19,32.5,1,152539,291552
4.72,12/21/18,8,1,107,1092
16.26,1/11/19,18.99,1,152539,291887
5.37,12/21/18,8.1,1,109,11
7.9,12/21/18,13.4,2.46,109,28
8.19,12/21/18,13.5,3,109,55
2.25,12/21/18,3.35,2,109,65
12.25,1/11/19,15.79,1,152539,291922
6.6,1/11/19,8.59,1,152539,292047
6.84,1/11/19,8.25,1,152539,292078
7.8,12/21/18,11.75,3,109,261
7.76,1/11/19,9.25,1,152539,292226
32.65,1/11/19,45.71,1,152544,290931
56.94,1/11/19,69.06,6,152544,291086
14.08,12/21/18,17.6,2,111,559
2.25,12/21/18,4,2,114,65
12.78,12/21/18,21.9,1,114,204
14.4,12/21/18,22,1,114,486
3.91,12/21/18,5.4,2,114,617
5.1,12/21/18,9.95,1,114,3013
7.8,12/21/18,11.2,2,115,442
12.15,12/21/18,20,2,115,584
3.6,12/21/18,7,1,115,592
6.67,12/21/18,8.4,3,115,683
4,12/21/18,5,4,116,119
22.4,1/11/19,27.2,3,152544,291184
11.05,12/21/18,13,1,116,213
54.9,12/21/18,71.9,8,116,574
8.46,12/21/18,9.7,1.63,116,670
