last_delivered,period,outlier,month_value,price,active,customer_id,product_id
2019-01-18,365,366,0,5.35,t,4,426
2019-01-30,365,366,0,9.05,t,5,82
2019-01-19,75,90,6,6,t,54,124
2018-12-19,365,366,0,9,t,4,649
2019-02-08,63,76,8.4,8.4,t,214,24
2019-01-11,365,366,0,48.4,t,13,167
2019-02-28,63,76,4.6,4.6,t,7,129
2019-01-31,21,22,42.63,5.05,t,6,68
2019-02-19,57,96,69.3,11.55,t,5,55
2018-12-29,365,366,0,15.6,t,303,61
2019-02-22,20,24,0,6.5,t,29,1155
2019-02-02,365,366,0,7.45,t,29,1108
2019-01-15,365,366,0,18.78,t,152318,334110
2019-02-09,36,59,10.53,7.9,t,148,10
2018-12-19,365,366,0,0.75,t,43,3358
2018-12-29,40,48,9.75,3.9,t,303,293
2018-12-13,365,366,0,54,t,6,55146
2019-02-20,36,44,24,8,t,13,1092
2019-02-01,365,366,0,20.45,t,20,338
2019-03-02,56,80,23.94,12.5,t,7,105
2019-02-26,35,48,65,32.5,t,4,563
2019-02-02,365,366,0,5.88,t,29,50566
2019-02-26,53,64,29,14.5,t,4,9763
2018-12-24,365,366,0,43.85,t,26,554
2019-03-01,52,76,49.98,24.99,t,5,196
2019-01-26,365,366,0,7.75,t,4,668
2019-01-19,365,366,0,8,t,54,914
2019-03-01,31,51,48.4,8.8,t,5,268
2019-02-25,365,366,0,5.7,t,138,72
2019-01-11,365,366,0,9.4,t,20,29
2019-01-11,365,366,0,6.8,t,20,198
2019-02-02,365,366,0,23.5,t,33,221
2018-12-18,365,366,0,18.2,t,5,86
2018-12-19,76,92,33,1.65,t,13,1493
2018-12-22,365,366,0,103.2,t,28,224
2019-02-02,365,366,0,15.75,t,54,432
2019-01-30,365,366,0,6.99,t,5,1006
2019-02-12,365,366,0,8.95,t,5,362
2019-02-09,365,366,0,5.99,t,148,580
2019-02-21,17,25,139.05,30.9,t,6,400
2019-02-13,18,28,151.7,8.2,t,5,412
2019-01-04,365,366,0,7,t,5,406
2019-02-07,365,366,0,5.45,t,8,29
2019-03-01,26,30,20,20,t,26,138
2019-02-12,36,44,8.85,8.85,t,7,102
2019-01-11,77,93,4.15,4.15,t,20,2368
2019-01-10,365,366,0,19.4,t,23,431
2019-02-06,47,81,12.42,7.45,t,5,1108
2019-01-15,365,366,0,27.5,t,56,138
2019-02-02,365,366,0,4.2,t,61,6
2018-12-13,365,366,0,4.2,t,18,151
2019-02-27,25,30,0,7.75,t,61,325
2019-02-09,17,22,17.6,8.8,t,148,656
2018-12-22,365,366,0,24,t,240,577
2019-02-08,29,35,6.2,6.2,t,23,479
2019-01-03,6,12,104.5,18.5,t,307,12123
2018-12-10,19,27,29,21.5,t,7,272
2019-01-09,29,35,13,6.5,t,44,13
2019-02-20,12,25,193.33,42,t,4,584
2019-02-23,30,46,19.8,4.95,t,84,110
2019-02-21,14,16,207,17.25,t,4,674
2019-02-09,26,34,8.33,5,t,148,657
2019-01-16,365,366,0,10.5,t,39,2379
2019-01-24,365,366,0,6.4,t,65,593
2019-02-02,25,30,11.65,6.99,t,7,308
2018-12-29,365,366,0,11,t,312,2
2019-01-30,7,12,0,11.99,t,5,382
2019-02-25,365,366,0,31.55,t,296,5306
2019-01-11,365,366,0,17.75,t,26,144
2019-01-12,365,366,0,20.1,t,28,136
2018-12-19,365,366,0,6.3,t,71,490
2018-12-29,365,366,0,8,t,314,4498
2019-02-09,63,76,8.99,8.99,t,150,294
2019-02-26,26,29,23.5,23.5,t,17,674
2019-01-04,365,366,0,6.8,t,5,541
2019-01-11,365,366,0,11.75,t,29,118
2019-01-15,63,76,25.6,25.6,t,56,221
2018-12-08,53,64,4.65,4.65,t,70,402
2018-12-18,25,60,44.1,12.6,t,5,405
2018-12-13,365,366,0,34.5,t,19,1140
2019-01-31,56,86,17.5,17.5,t,6,76
2019-01-15,365,366,0,172,t,56,264
2019-03-01,29,46,18.8,9.4,t,54,29
2019-01-12,365,366,0,59.15,t,28,554
2019-01-03,365,366,0,27.9,t,6,280
2019-01-05,365,366,0,10.35,t,57,325
2019-02-28,365,366,8,8,t,107,67
2019-01-15,365,366,0,21.05,t,56,374
2019-01-25,77,93,13.25,13.25,t,26,136
2019-02-09,365,366,0,2.55,t,155,12
2019-02-05,28,30,42,7.2,t,23,550
2018-12-20,70,84,34.8,17.4,t,6,444
2018-12-29,60,72,44.5,44.5,t,29,3909
2018-12-29,31,38,40.8,3.4,t,315,37
2019-01-19,59,108,66,12,t,4,1694
2019-03-01,43,70,13.25,13.25,t,7,54
2018-12-18,365,366,0,9.6,t,5,494
2019-01-24,365,366,0,12.4,t,69,325906
2019-01-15,365,366,0,7.5,t,56,443
2019-02-27,365,366,0,10.5,t,70,412
2019-01-19,365,366,0,9.3,t,86,484
2019-01-31,365,366,14,14,t,6,641
2019-01-16,365,366,0,13.3,t,54,494
2019-02-13,365,366,0,10.5,t,145,412
2019-02-22,62,75,10.95,10.95,t,29,220
2019-02-19,365,366,0,0,t,6,518
2018-12-10,14,17,107.1,6.3,f,60,193
2018-12-10,365,366,0,7.1,t,7,443
2019-02-02,365,366,0,6.4,t,7,94
2019-02-09,43,52,239.88,19.99,t,7,247
2019-01-03,1,11,0,20.45,t,7,333
2019-01-10,365,366,0,9,t,39,679
2019-02-02,43,57,11.5,11.5,t,7,338
2019-01-10,71,86,33.9,15,t,43,118
2019-01-10,79,95,17.8,17.8,t,43,319
2019-02-23,44,53,9.45,9.45,t,43,106
2019-02-06,69,83,26.4,1.65,t,13,555
2019-01-26,365,366,0,9.4,t,28,210
2019-02-19,77,93,3,3,t,7,132
2019-01-25,365,366,0,14,t,31,244
2018-12-12,7,12,0,9.8,f,132,557
2019-01-29,365,366,0,5.85,t,12,36
2019-01-29,365,366,6.15,6.15,t,152318,290927
2019-01-05,40,48,4.55,4.55,t,7,72
2019-03-01,12,20,46.2,11.55,t,7,55
2019-01-05,365,366,0,1.9,t,75,410
2019-02-07,365,366,0,5.6,t,12,126
2018-12-29,365,366,0,9.05,t,328,126
2019-02-20,36,44,9.6,4.8,t,56,675
2019-02-22,28,38,35.99,23.99,t,7,280
2019-02-06,50,64,66.75,44.5,t,5,1089
2018-12-28,365,366,0,21.3,t,85,4267
2019-01-15,365,366,0,41,t,56,1033
2019-02-09,74,89,21.6,3.6,t,13,241
2019-02-28,14,25,213.72,17.85,t,4,242128
2019-01-26,365,366,0,15.5,t,31,1044
2019-01-25,365,366,0,9.75,t,39,10
2019-01-25,365,366,0,11.7,t,39,358
2019-02-09,365,366,0,10.8,t,164,1694
2019-02-02,365,366,0,6.85,t,86,325
2019-02-02,365,366,0,3.65,t,87,65
2019-02-11,79,95,48,51,t,61,320
2019-02-25,27,37,49.75,9.99,t,9,28
2019-01-05,365,366,0,6.5,t,75,717
2019-02-06,26,62,33.2,8.3,t,29,1312
2019-01-29,365,366,16.69,16.69,t,152318,292083
2019-02-21,365,366,0,7.4,t,7,306
2019-02-26,46,56,20.65,20.65,t,48,2397
2019-01-03,365,366,0,11.85,t,52,288
2019-02-28,30,39,21,8.4,t,55,131
2019-02-28,61,74,7.65,7.65,t,329,386
2019-02-06,365,366,0,21.75,t,7,2443
2019-01-15,365,366,0,22.7,t,56,333673
2019-01-04,80,96,10.35,10.35,t,7,587
2019-01-10,52,93,50.85,11.3,t,55,139
2019-01-10,365,366,0,22.7,t,55,164
2019-03-01,365,366,0,4.3,t,35,551
2018-12-18,47,56,15.8,16,f,6,144
2018-12-19,25,39,23.88,9.55,t,125,641
2019-02-02,365,366,0,27,t,99,328
2018-12-22,365,366,0,19.35,t,128,31
2019-02-09,30,37,17.25,11.5,t,116,906
2018-12-19,365,366,0,10,t,135,3007
2019-02-09,13,21,60.2,15.05,t,206,475
2019-02-02,15,18,8.5,8.5,t,109,1659
2018-12-19,365,366,0,7,t,142,2106
2019-01-09,365,366,0,8.5,t,86,29
2019-03-01,365,366,0,6.5,t,74,657
2019-02-26,31,47,10.8,5.4,t,39,3401
2019-02-09,365,366,0,18.4,t,207,338
2019-01-07,365,366,0,43.6,t,10,167
2019-02-09,365,366,0,14.4,t,207,590
2019-01-15,365,366,0,11.3,t,60,343
2019-01-19,61,100,23.97,7.99,t,122,110
2019-01-30,81,98,5.6,5.6,t,7,334
2019-01-19,52,63,5.5,5.5,t,122,504
2019-01-17,365,366,0,5.7,t,35,43
2019-02-06,365,366,0,10.6,t,7,326
2019-01-15,365,366,0,12.95,t,70,115
2019-02-02,365,366,0,16.65,t,128,674
2019-02-13,12,15,92,18.4,t,116,152
2019-02-08,43,61,17.6,8.8,t,7,656
2018-12-11,7,10,468,27.9,t,8,192436
2019-02-13,11,14,0,9.2,t,116,1917
2019-01-03,365,366,0,3.75,t,18,640
2019-02-19,365,366,0,13.8,t,237,1161
2019-03-02,33,60,56,7,t,7,572
2019-01-02,75,90,27.72,8.4,t,145,187
2019-01-19,365,366,0,1.9,t,7,507
2019-01-15,365,366,0,6.95,t,70,338
2019-01-05,2,11,0,8.5,f,138,524
2019-02-08,43,79,167.4,9.3,t,6,330
2018-12-14,6,12,0,9.75,f,206,10
2019-02-04,53,102,30.28,8.65,t,60,764
2019-01-19,80,96,9.2,6.5,t,122,657
2019-01-07,24,29,36,6,t,10,428
2019-02-20,29,43,48.3,19.32,t,5,204
2019-01-07,24,29,60,10,t,10,569
2019-02-02,365,366,0,6.75,t,128,7098
2019-02-27,51,62,11.6,5.85,t,11,36
2019-02-26,365,366,0,2.6,t,243,284
2018-12-29,365,366,0,26,t,343,393
2019-02-02,365,366,0,4.15,t,131,298
2018-12-21,21,46,18.05,3.2,t,269,395
2019-02-22,8,11,94.91,9.99,t,7,41
2019-01-12,365,366,0,14,t,54,742
2019-02-08,51,62,26.05,26.05,t,155,1103
2019-02-22,22,27,32.4,32.4,t,7,831
2018-12-14,365,366,0,11.4,t,79,294
2019-01-04,365,366,0,15.5,t,232,75
2019-02-19,24,28,9,6,t,226,479
2019-02-09,21,36,44,16.5,t,131,529
2019-02-02,365,366,0,2.75,t,131,675
2019-02-23,27,49,21.6,21.6,t,139,486
2019-02-02,70,84,12.4,6.2,t,139,479
2019-01-08,365,366,0,8.75,t,7,294
2019-01-25,23,28,51.36,25.68,t,152318,324362
2019-02-07,62,75,19.35,19.35,t,30,444
2018-12-22,365,366,0,5.5,t,131,250
2019-01-18,11,14,0,3.1,t,11,37
2018-12-24,17,23,8.1,2.7,t,11,527
2019-02-07,365,366,0,23.5,t,39,221
2018-12-14,365,366,0,30,t,79,1192
2018-12-20,365,366,0,17.9,t,167,363
2018-12-20,365,366,0,15.95,t,169,96
2019-02-18,365,366,0,15.5,t,119,435
2019-01-10,36,38,19.8,4.95,f,61,250
2019-02-05,365,366,0,39,t,57,529
2019-02-02,365,366,0,14.2,t,144,432
2018-12-20,4,10,0,23.65,f,6,38546
2019-01-14,55,66,1.9,1.9,t,7,4
2019-01-29,365,366,0,18.5,t,19,634
2019-01-15,365,366,0,8.15,t,131,82
2019-01-19,32,49,4.7,4.7,t,138,653
2019-02-02,365,366,0,25.8,t,144,619
2019-01-10,365,366,0,11,t,61,137130
2018-12-08,365,366,0,3.8,t,216,580
2019-02-02,31,38,12.6,12.6,t,144,742
2019-01-15,365,366,0,7.45,t,131,173
2019-01-07,365,366,0,12.4,t,11,343
2019-01-10,41,71,37.7,5.8,t,65,617
2019-01-24,365,366,0,13.5,t,12,2
2019-01-10,365,366,0,6.5,t,65,657
2018-12-18,365,366,0,13.5,t,6,588
2018-12-29,68,82,7.2,7.2,t,86,40
2019-01-28,365,366,60.62,60.62,t,152318,350156
2019-02-26,18,33,71.4,2.8,t,18,675
2019-02-22,365,366,0,28.5,t,91,138
2018-12-29,11,17,32,16,t,347,144
2018-12-29,365,366,0,3.25,t,347,241
2018-12-29,365,366,0,8.3,t,347,487
2019-01-05,25,35,14.93,5.6,t,28,348
2019-02-09,365,366,0,16.15,t,13,55
2018-12-19,365,366,0,7.5,t,192,294
2019-01-15,365,366,0,0,t,142,518
2019-02-01,66,106,45.9,7.65,t,13,106
2019-02-28,10,17,34.67,6.5,t,7,26
2019-01-18,48,58,7.2,7.2,t,13,334
2019-02-02,365,366,0,5.95,t,145,11734
2019-02-02,365,366,0,1.3,t,152,336
2019-01-18,365,366,0,8.25,t,17,173
2018-12-19,23,28,7.2,7.2,t,192,73604
2018-12-22,365,366,0,35,t,57,652
2018-12-10,55,66,6.2,6.2,t,11,484
2019-03-01,44,56,41.55,13.85,t,192,314
2019-01-30,24,25,27.9,4.65,t,10,402
2019-02-13,26,63,29.83,17.9,t,144,115
2019-02-15,19,38,19.8,3.6,t,54,570
2019-02-22,32,51,8.25,1.5,t,54,647
2019-02-25,365,366,0,15.65,t,56,861
2019-01-30,37,62,17.55,11.7,t,11,349
2019-02-02,365,366,0,24.1,t,155,599
2019-02-09,365,366,0,12.5,t,226,9187
2019-01-15,365,366,0,9.8,t,152,18
2018-12-28,365,366,0,4.35,t,145,367
2018-12-29,25,26,16.7,6.6,t,349,257
2019-01-09,365,366,0,14,t,114,742
2019-01-10,365,366,0,8,t,75,645
2019-02-09,25,30,73.06,15.7,t,228,376
2019-02-11,31,38,88.5,29.5,t,55,1043
2019-02-25,365,366,0,15.8,t,119,564
2018-12-18,54,65,62,62,t,278,23
2018-12-13,365,366,0,45,t,43,283523
2019-02-16,79,95,45.9,45.9,t,53,5254
2019-03-02,11,16,63.3,10.55,t,11,556
2018-12-22,34,54,7.2,7.2,t,11,1092
2019-02-27,17,24,156,1.3,t,154,598
2019-03-01,9,12,24.8,6.2,t,11,617
2019-03-01,71,119,19.85,19.85,t,36,138
2018-12-29,365,366,0,11.7,t,350,135
2019-03-01,7,10,69.98,16.15,t,20,55
2019-02-02,365,366,0,22,t,61,515
2019-02-12,365,366,0,9.95,t,13,411
2019-01-10,365,366,0,9,t,77,187
2019-02-06,365,366,0,3.2,t,43,248
2019-02-27,11,18,93.5,17,t,68,622
2019-01-22,33,47,11.3,11.3,t,7,432
2019-01-10,365,366,0,0,t,77,447
2019-02-02,365,366,0,60.9,t,167,554
2019-01-29,24,29,0,11.4,t,28,524
2019-02-21,14,22,68.97,22.99,t,7,121
2018-12-29,365,366,0,1.7,t,356,178
2019-02-09,365,366,0,17.5,t,247,76
2019-02-15,24,36,2.18,1.45,t,152,350
2018-12-08,365,366,0,3,t,78,408
2019-02-19,31,46,28,1.4,t,152326,292221
2019-02-08,27,33,32.5,32.5,t,28,563
2018-12-10,365,366,0,5.2,t,11,13741
2019-03-01,15,24,25.68,3.35,t,28,65
2019-03-02,15,28,5.58,3.35,t,37,62
2019-02-21,14,19,247.5,8.25,t,12,122
2019-01-02,365,366,0,19.2,t,56,1644
2019-03-02,16,30,146.93,15.2,t,230,54
2019-02-22,31,42,31,7.75,t,14,220
2019-02-01,43,58,20.6,10.3,t,13,641
2019-01-19,42,51,23.6,11.8,t,163,683
2019-02-02,67,114,50,10,t,87,239
2019-02-09,44,53,208.2,34.7,t,148,242809
2018-12-29,365,366,0,7.75,t,4,308
2019-02-25,365,366,0,25.5,t,97562,2011
2019-02-12,39,47,10.2,12.9,t,85,436
2019-01-11,365,366,0,4.95,t,55,2106
2019-01-10,365,366,0,20.4,t,84,98
2019-02-20,43,52,37.8,9.45,t,13,764
2018-12-12,365,366,0,6.2,t,237,479
2019-03-02,365,366,0,15.5,t,13,1044
2019-01-18,365,366,0,12.3,t,20,456
2018-12-19,365,366,0,70.1,t,225,224
2019-02-16,15,19,24.5,9.8,t,69,11
2019-02-07,365,366,0,8.95,t,43,199087
2019-01-05,365,366,0,2.3,t,14,235
2018-12-08,11,14,22.6,11.3,t,116,432
2018-12-20,365,366,0,7.4,t,211,110
2019-02-23,365,366,0,36.7,t,93,478
2019-02-27,12,22,45,18,t,26,564
2019-01-05,365,366,0,7.9,t,174,596
2019-03-01,14,28,43.33,6.5,t,20,428
2019-03-01,365,366,0,13.4,t,28,576
2019-02-28,365,366,6.6,6.6,t,270,386
2018-12-29,365,366,0,13,t,368,582
2019-02-19,365,366,0,7.8,t,88,174
2018-12-19,21,34,192.5,13.75,t,4,2173
2019-01-15,365,366,0,18,t,156,128
2018-12-20,30,42,19.1,19.1,t,203,435
2019-02-28,11,20,40.95,9.45,t,7,300
2019-01-26,77,134,344,172,t,75,264
2019-02-26,365,366,0,10.9,t,17,11
2018-12-18,21,32,9.35,9.35,t,17,344
2018-12-21,63,76,3.98,1.99,t,225,419
2018-12-19,365,366,0,12,t,236,2220
2018-12-29,35,42,5.6,5.6,t,390,240
2019-02-01,365,366,0,36.9,t,70,481
2018-12-20,365,366,0,24.15,t,226,585
2019-02-16,77,93,10.75,10.75,t,75,380
2019-03-02,9,12,16.35,16.35,t,97,634
2019-02-27,365,366,0,7.2,t,203,334
2019-02-25,23,28,0,13.8,t,190,118
2018-12-19,78,94,7.95,7.95,t,248,67
2019-02-02,25,30,23.5,19.99,t,28,674
2019-01-10,365,366,0,6.3,t,84,592
2019-01-26,59,90,9.9,3.3,t,28,1063
2019-01-10,365,366,0,5.72,t,84,829
2019-01-19,365,366,0,13.6,t,166,343
2019-02-12,365,366,0,13,t,17,144
2019-01-29,365,366,0,6.6,t,12,386
2018-12-29,25,26,6,6,t,390,282
2018-12-24,70,84,12.25,12.25,t,93,482
2018-12-21,11,12,21,21,t,17,12123
2019-01-05,365,366,0,3.6,t,131,107
2019-02-22,365,366,0,6.85,t,131,102620
2019-01-21,56,68,14.4,14.4,t,7,906
2018-12-29,26,41,26.1,4.35,t,232,3560
2019-01-15,365,366,0,2.4,t,206,498
2019-02-02,365,366,0,15.75,t,209,162
2019-02-09,40,48,17,17,t,249,289793
2019-02-02,365,366,0,23.3,t,209,324
2018-12-29,365,366,0,19.2,t,233,883
2019-02-26,20,35,41.2,26,t,77,54
2018-12-08,365,366,0,25.8,t,1135,312
2019-02-16,33,51,26.33,17.55,t,8,121
2018-12-29,365,366,0,8,t,390,467
2018-12-15,66,111,18.6,9.3,t,69,484
2018-12-29,365,366,0,22,t,390,489
2019-01-11,365,366,0,9,t,66,1251
2019-02-01,35,42,9.4,9.4,t,17,210
2019-02-27,365,366,0,5.75,t,263,71
2019-01-05,365,366,0,3,t,180,507
2019-02-23,51,86,31.5,21.7,t,390,575
2019-02-26,365,366,0,23.5,t,282,1083
2018-12-14,365,366,0,25.99,t,93,627
2019-02-26,27,30,9,9,t,107,667
2018-12-11,52,63,11.22,5.61,t,18,67
2019-02-09,18,25,15,4.5,t,7,348
2018-12-24,365,366,0,6.4,t,54,59
2018-12-15,63,76,14.4,1.2,t,18,39
2019-02-02,365,366,0,4.6,t,18,181
2019-01-03,51,62,54.18,4.2,t,18,68
2019-01-11,14,24,9.47,3.55,t,69,72
2019-03-01,20,44,49.6,24.8,t,20,475
2019-01-10,51,69,6.6,6.6,t,107,69
2019-01-24,21,32,103.2,4.3,t,152,579
2018-12-13,57,89,29.04,10.6,t,52,343
2019-01-10,365,366,0,5.7,t,109,43
2019-01-19,72,87,14.55,14.55,t,170,3480
2018-12-29,14,15,5,3,t,398,367
2018-12-29,365,366,0,30,t,398,84637
2018-12-22,365,366,0,14.5,t,264,439
2019-01-12,74,89,6.8,1.7,t,70,631
2019-03-01,7,10,38.13,2.6,t,20,609
2019-03-02,45,55,19,19,t,37,86
2018-12-20,365,366,0,4.05,t,227,234
2018-12-20,365,366,0,15,t,269,1144
2019-02-19,52,63,16.5,16.5,t,425,528
2019-01-07,59,89,41.25,16.5,t,29,674
2019-02-16,7,13,16.03,3.7,t,263,29
2019-01-21,365,366,0,5.8,t,10,88
2019-01-15,365,366,0,4.35,t,254,367
2019-01-09,365,366,0,3.3,t,4,301
2019-01-25,365,366,0,21,t,75,575
2019-01-04,365,366,0,15.75,t,20,28
2018-12-29,45,81,16.8,2.7,t,426,64
2019-02-02,34,47,11.25,11.25,t,7,641
2018-12-29,67,81,23.85,22.8,t,478,449
2019-02-02,365,366,0,7.85,t,226,2394
2019-02-02,365,366,0,6.2,t,233,315
2019-02-28,72,87,45.8,22.9,t,7,945
2018-12-19,365,366,0,20.1,t,279,136
2018-12-19,16,31,44.96,9.99,t,279,171
2018-12-29,16,32,10.26,3.42,t,520,65
2019-01-10,365,366,0,1.57,t,110,80
2019-02-08,22,26,28.5,9.5,t,23,131
2019-02-05,365,366,0,55.6,t,78,242
2019-02-22,29,47,127.8,10.65,t,11,683
2019-02-26,365,366,0,17.8,t,19,204
2019-02-26,365,366,0,2.2,t,262,178
2019-02-22,67,81,25.34,25.34,t,152407,291129
2019-01-08,365,366,0,9,t,5,1251
2019-02-09,42,51,8.8,8.8,t,263,442
2019-01-16,50,60,16.8,5.6,t,5,606
2019-02-19,47,65,39,18.5,t,19,575
2019-01-15,365,366,0,6.1,t,254,16381
2019-01-08,365,366,0,22.5,t,7,619
2018-12-31,365,366,6.85,6.85,t,91,344
2019-02-18,365,366,0,3,t,55,90
2019-01-25,33,48,14.63,5.65,t,78,257
2018-12-29,80,96,18,18,t,160,585
2019-02-02,365,366,0,47.2,t,233,574
2018-12-29,31,38,15.5,15.5,t,278,1044
2019-01-11,365,366,0,6.4,t,20,71
2019-02-09,34,47,34,17,t,264,172
2019-01-25,365,366,31.09,31.09,t,152339,347388
2019-02-19,365,366,0,18.4,t,83,338
2018-12-31,365,366,31,15.5,t,91,531
2019-03-01,35,46,72.7,7.27,t,152341,291790
2018-12-22,365,366,0,10.95,t,97,533
2019-01-09,365,366,0,36.7,t,5,478
2019-02-23,18,33,301.25,59,t,264,145
2019-01-31,365,366,33.5,6.7,t,13,90
2019-01-10,365,366,0,2.7,t,110,243
2019-01-10,365,366,0,3.26,t,110,428
2018-12-11,365,366,0,19.2,t,19,544
2019-01-31,13,16,52.7,11.6,t,13,287
2019-02-02,365,366,0,13.5,t,233,641
2018-12-19,20,32,24.6,12.3,t,21,5373
2019-02-02,365,366,0,8.35,t,233,790
2019-02-19,35,61,48,32,t,8,478
2018-12-22,365,366,0,4.2,t,264,2016
2019-03-02,79,95,58.1,59.85,t,23,1089
2019-02-21,41,57,32,32,t,23,427
2019-02-27,82,99,27.6,27.6,t,291,945
2019-01-10,365,366,0,8.95,t,112,28
2019-01-08,45,54,24,2.4,t,33,248
2018-12-31,365,366,24,6,t,96,90
2018-12-19,22,34,24.6,12.3,t,21,8213
2018-12-31,365,366,34.4,8.6,t,96,106
2019-02-28,7,15,38.25,5.1,t,235,304
2019-01-29,365,366,0,0,t,45,518
2019-01-31,70,84,20.25,13.5,t,13,303
2019-02-25,34,63,39.2,11.4,t,4,326
2018-12-29,8,54,38.65,38.65,t,285,1300
2018-12-19,63,76,10,5,t,285,59
2019-02-16,11,18,313.5,42,t,78,273
2019-01-16,56,68,5.5,5.5,t,7,59
2018-12-29,365,366,0,20.53,t,520,455
2019-01-25,365,366,0,12.5,t,78,290
2018-12-29,365,366,0,6.54,t,520,557
2019-02-22,22,31,16.13,10.75,t,43,67
2019-02-23,24,34,9.6,1.6,t,264,246
2019-01-19,365,366,0,15.5,t,184,1044
2019-01-25,365,366,0,3.3,t,78,507
2019-01-19,365,366,0,59.15,t,203,554
2018-12-13,14,17,51.4,25.7,t,7,2173
2019-01-25,48,58,24.7,24.7,t,78,581
2019-02-25,20,42,43.6,10.9,t,4,557
2019-01-25,365,366,0,4.7,t,78,2016
2019-02-09,61,95,9.6,9.6,t,278,494
2019-02-06,365,366,0,5.55,t,56,257
2018-12-29,14,20,55.4,13.85,t,8,595
2019-02-23,24,47,82.5,38,t,264,273
2019-02-28,23,28,75.9,13.8,t,78,670
2019-01-16,365,366,0,44.1,t,98,1142
2019-01-10,365,366,0,8,t,115,1092
2019-01-08,365,366,0,2.08,t,110,490
2019-01-19,365,366,0,2.55,t,216,12
2019-01-10,365,366,0,6.5,t,116,26
2018-12-29,30,36,129,21.5,t,653,272
2019-02-21,17,26,78.75,22.5,t,282,589
2019-01-03,59,71,41.6,41.6,t,212,652
2018-12-19,14,17,59.76,29.88,t,152362,292132
2019-01-21,365,366,0,8.95,t,10,11180
2019-02-15,31,38,4.75,4.75,t,260,355
2019-02-28,48,63,6.67,5,t,7,440
2018-12-29,21,26,0,25,t,653,634
2019-01-26,9,11,76.05,16.9,t,28,584
2019-01-07,24,29,14.4,3.6,t,10,107
2019-01-04,365,366,0,23.5,t,109,1083
2019-02-02,365,366,0,30,t,254,510
2019-01-09,365,366,0,13.18,t,135,734
2019-02-06,365,366,0,1.75,t,114,423
2019-02-08,39,61,21.75,14.5,t,48,9763
2019-02-22,45,54,4.18,4.18,t,36,428
2019-02-23,365,366,0,17,t,2651,564
2019-02-28,27,33,9,3,t,343,527
2019-01-05,19,29,26.5,20,t,152371,291887
2019-02-12,365,366,0,24.4,t,26,214
2019-02-25,365,366,0,12.15,t,7,2279
2019-02-25,365,366,0,23.5,t,9,674
2019-02-02,29,35,15.5,15.5,t,254,1589
2019-02-02,365,366,0,91.5,t,254,2410
2019-02-18,43,59,19.6,9.8,t,26,641
2019-02-07,365,366,0,46.3,t,26,652
2019-01-08,40,48,9.2,9.2,t,13,358
2019-01-24,12,24,35.75,6.5,t,36,106
2019-01-16,78,94,94.95,18.99,t,5,66
2019-02-06,365,366,0,18.87,t,56,292
2019-01-08,15,30,28.5,9.5,t,28,240
2019-01-29,365,366,0,11.2,t,13,326
2019-02-15,31,38,24.93,7.99,t,260,467
2019-01-19,365,366,0,4.5,t,226,1268
2019-03-01,9,14,68.63,2.9,t,11,27
2019-01-31,365,366,9.51,3.17,t,13,1260
